roomCapturePointId,modelRoomId,userCapturePointId,xMeters,currentY,zMeters,targetY,yOffset,hasCaptures,captureCount
047b01df-33b4-476e-814b-0bf23c5297ba,59718d71-e160-484e-9282-d620dd4ea9d5,PH1-L00-FOH CORRIDOR 121 - Default Point,17.248,50.4,0.994,0.0,-50.4,yes,9
36e87ba9-a2b9-4ca0-b0b1-cc1d7dea57dc,d21e1c06-d41b-4122-a817-c5924d2ef1a8,PH1-L00-MB SECONDARY COP_A - Default Point,1.543,50.4,-9.637,0.0,-50.4,yes,14
34d200bb-7e2d-489f-bae3-f1b316af56fb,3523278b-d3bf-480a-b187-6cafcc39b90e,PH1-L00-MB CORRIDOR A.1 - Default Point,4.687,50.4,-9.15,0.0,-50.4,yes,14
f1cc70d0-1910-4860-9424-fe48cf4b1f12,4c4bd6eb-e6f8-4f68-b640-1ba0544ad4f0,PH2-L00-MB BBU STORAGE H - Default Point,59.305,50.4,-32.319,0.0,-50.4,yes,28
150c88e0-7fbe-4d47-ac2f-75becb28a628,0ffeb775-e511-4c65-80b9-a0f15302e61a,PH1-L00-MB CATCHER UPS R1 - Default Point,29.646,50.4,-52.543,0.0,-50.4,yes,13
05cae6e9-e217-4eb4-8b05-c4e003b389a6,6a82904d-7cf0-41f8-9349-056e0f5583a0,PH2-L00-MB MSB_H - Default Point,59.385,50.4,-24.796,0.0,-50.4,yes,49
b1478d50-18c2-4046-a58e-913b49bea0de,a8866bd0-055d-4598-afc3-dd8a87035910,PH1-L00-MB CICO ROOM 2 - Default Point,45.964,50.4,-8.628,0.0,-50.4,yes,2
26ee1141-9a73-4fea-8a76-261a57b08b9d,0ad61829-2356-4895-a560-d2650c00d366,PH1-L00-FOH STAIRS NORTH 2B - Default Point,90.871,50.4,-0.82,0.0,-50.4,no(empty),0
c09c5097-b686-450d-9d18-8c028ed141a2,ee10e144-cb7f-47bc-9b68-15857d5834a2,PH1-L00-MB PRIMARY COP_D - Default Point,50.962,50.4,-30.253,0.0,-50.4,yes,14
adae82f2-5450-489d-9c3b-ab895220d82b,853b36b3-385e-4c0c-b7fd-fa1c04291bce,PH2-L00-MB CORRIDOR NORTH - Default Point,92.985,50.4,-6.303,0.0,-50.4,yes,50
34dc985b-811f-4b96-8afd-319d2e3c3845,a2d6aa34-1b24-435e-8385-1f24b03a6a27,PH2-L00-MB CATCHER TRANSFORMER R2 - Default Point,73.095,50.4,-52.816,0.0,-50.4,yes,23
eeef6560-b9c8-437c-a11b-5ae50d0b24f6,e63ab07f-810e-4523-9388-fbbca49b6685,PH1-L00-FOH LIFT 02 - Default Point,60.219,50.4,-0.529,0.0,-50.4,no(empty),0
a664be9b-b007-4695-8db6-26846781fd6d,b0972335-a333-41ac-9d00-631404c190aa,PH1-L00-MB MSB_D - Default Point,50.686,50.4,-21.046,0.0,-50.4,yes,22
b00e00b5-5a3d-46a3-b136-99da977ef07b,3f5f576a-ef41-497c-9b17-15ccb637df79,PH1-L00-MB CENTRAL CORRIDOR EAST - Default Point,27.248,50.4,-30.701,0.0,-50.4,yes,9
5e1372bd-36ff-4abf-bf05-ed9b4b5e131d,555d2552-c0a2-4244-8314-029d3aa4db8a,PH1-L00-FOH CHANGING ROOM FEMALE - Default Point,24.778,50.4,-2.45,0.0,-50.4,no(empty),0
