itemId,itemType,userItemId,itemName,parentItemId,parentPresent
2b38fd98-0490-41c0-a75a-d901eca166fe,Activity,MI-1020,Mechanical/Plumbing,f4a35525-523a-424f-a294-3069f5bd1436,yes
2c271017-ee26-4d42-837f-f53a11b895d5,Activity,CS-ROOF-E-1010,Roofing - Area E - Intermediate Ply,f0480e4e-b415-4943-9bcc-d2241ebdb1bd,yes
2c50d66f-210f-4292-845b-b5a088aa3818,Activity,CS-PCST-C-1000,Precast Concrete - Area C - Set Panels,015bd7c0-0ad3-411d-a89e-a575e1d43684,yes
2d28f56b-7e27-4ce3-a873-8ffcc5083007,Activity,MI-CON-1100,EYD 2 - Foundations Complete,740cb0f1-d536-4a17-adf3-d9b03ddd016c,yes
2d7d5c10-0a45-41af-b94b-3bdd908d91fb,Activity,CS-STL-O-1000,Structural Steel - Area O - Columns,7f853545-2489-48f8-88bb-4d1f2661726f,yes
2d937ab7-0251-4a1d-9132-b0125d9b6f24,Activity,MI-CON-1150,Server Hall 6 - 24 MW Turnover Date (15-Jun-2028),585e25c1-a953-43a4-8ab7-b61f53df89ba,yes
2dad50f1-286d-4d37-a598-6b70fbf4ee07,Activity,OFCI-MVSW-1000,Delivery of MV Switchgear - MYD2 (2nr.),09793439-4d5c-46f8-bbbb-71c205c9d3bc,yes
2dad6a22-0da8-40ed-ac64-32926ce74aa9,Activity,MI-1070,Site Utilities,f4a35525-523a-424f-a294-3069f5bd1436,yes
2ddfc075-41fa-4ad0-a3b2-20ce17496f7a,Activity,CIV-MV-1000,Medium Voltage - Install Ductbanks - 1B & 1R (2500ft per line),59b2d053-fec6-4167-b5ef-66da3a65d8fd,yes
2e83e040-c1f9-4e69-a23d-f2e2371e6b86,Activity,CS-PAD-F-1060,Building Pad Concrete - Area F - Grade Beams,c568574a-778c-4324-83a8-3d005d667c3f,yes
2ed23483-8076-40eb-92ff-b2f423e1ea85,Activity,MI-1210,Landscaping,29c31110-1c33-41c1-95a6-ab64432d594d,yes
2f31e576-0435-437d-9e08-cfaa220656f6,WBS,AUS02-60-Schedule-L1-.1.1.2.1.2.10,Exterior Doors & Storefronts,a673c5f2-f51f-4dbd-a7aa-cd5218b12ab5,NO
2f3b8125-00f8-4d5b-924e-5e78d46efcb6,Activity,CS-ROOF-I-1020,Roofing - Area I - Composite Insulation,edffb33d-402b-43d3-ad74-e7e1619ed937,yes
2f6bb2d9-b1b4-4e68-8c74-fb2ccfe24e94,WBS,AUS02-60-Schedule-L1-.1.1.1.1.1.2,Permitting,94cce902-c576-4149-a03b-5b0f2fbf8a61,NO
2f87f84f-7f9d-4841-b53c-c5f3549ea88b,Activity,CS-ROOF-E-1000,Roofing - Area E - Vapor Retarder,f0480e4e-b415-4943-9bcc-d2241ebdb1bd,yes
2ff658c7-ad25-4e9f-aaa5-6ca1bd73f3cf,Activity,OFCI-CRAC-1010,Delivery of CRAC Units - DH2 (7nr.),4df42408-4d4f-4b68-8f88-1a21d8acaea9,yes
3034dda5-1e41-4f26-99bd-a4596844488d,Activity,CS-PAD-E-1060,Building Pad Concrete - Area E - Grade Beams,5636c431-fb78-4336-9a47-e362efc53684,yes
3043d80e-4fb2-43ad-ae0a-73a98140df74,Activity,OFCI-EHSE-1030,Delivery of E-Houses - EYD2 (2nr.),7b1b9598-6438-4cb0-bf26-89217ee157ac,yes
3068ae7d-56b8-4f36-9f7c-b72e37f89843,Activity,CS-PAD-C-1060,Building Pad Concrete - Area C - Grade Beams,ecebed32-e788-4e32-8c5f-c6a2bb77b124,yes
30810b91-8e56-437b-9813-6928ac02b7d7,Activity,CS-STL-A-1010,Structural Steel - Area A - Braced Frames,008c755e-e2e6-4a3e-bb50-9f78b85c17cc,yes
309b7b5a-0d28-495f-b6e8-5f88af415abf,WBS,AUS02-60-Schedule-L1-.1.1.2.1.2.10.1.2.10.1,"West Elevation (Areas A, B, C & D)",2f31e576-0435-437d-9e08-cfaa220656f6,yes
30eec2e2-823a-49cf-ad4b-369ba5390f30,Activity,CS-PAD-Q-1030,Building Pad - Zone 5 Install Piers,ea8c6245-c4c4-4cc5-99ee-e2caf537592e,yes
3123e8cd-04cc-44c8-a891-da3a3a355a57,Activity,CS-ROOF-R-1010,Roofing - Area R - Intermediate Ply,8e26bd0f-a4cd-4be7-924e-3b193640c564,yes
319dee74-5aa0-4d2f-a8f5-99a6c6fc59b7,Activity,CS-STL-R-1000,Structural Steel - Area R - Columns,623818e7-be5a-46f4-a1f5-2319662ac2b3,yes
3256ac4b-ce0a-4d1b-b63f-8e27739b524e,Activity,CS-ROOF-L-1020,Roofing - Area L - Composite Insulation,470dc016-5c04-4cf4-98d3-a13412641d71,yes
330c8da4-5fd0-4771-8b2f-457baa14ddfc,Activity,CS-ROOF-P-1010,Roofing - Area P - Intermediate Ply,ff62b231-d8b5-4d44-bb44-5e1e6c8d2f9c,yes
34b11855-e2cf-4343-8a26-89d1d1885de8,Activity,CS-PAD-Q-1060,Building Pad Concrete - Area Q - Grade Beams,7f56698e-0060-44de-9e02-97eb4523df71,yes
34b88afe-ee44-43c8-87c4-49cc76fedf7d,Activity,CS-PCST-J-1000,Precast Concrete - Area J - Set Panels,00df955e-6ead-49d3-890a-ee1d10ca301a,yes
356f8480-3cba-435d-83d0-f0ea91f4b7f7,WBS,AUS02-60-Schedule-L1-.1.1.2.3,Chiller,49d1ce1e-3acc-4124-b1ef-d3778dadcb85,NO
35b29a78-3591-42a4-9934-8ffc9711abb2,Activity,CS-PNT-1120,Precast Wall - Paint and Finish - Area A - Paint & Finish to Precast Walls,183a84d7-0382-469e-bb68-83350744017b,yes
35be34db-0478-425a-946f-b6a993b1ee72,WBS,AUS02-60-Schedule-L1-.1.1.2.1.2.6.1.2.6.6,Area E,0194d2ec-7c1a-439d-9328-06dd55d7c06d,yes
362028f0-8280-4d09-b7b7-79149535f0e4,WBS,AUS02-60-Schedule-L1-.1.1.2.1.2.9.1.2.9.11,Area K,384071d3-0c33-473c-95ff-d3ab5d02ea5b,yes
